,Name,Overall,Wage
14143,A. Al Jadani,61,€3K
14144,M. Engelhardt,61,€1K
14145,C. Yüksel,61,€6K
14146,T. Casali,61,€2K
14147,D. Jaiyesimi,61,€4K
14148,Y. Bisseck,61,€1K
14149,A. Sarr,61,€2K
14150,T. Svendsen,61,€1K
14151,J. Williams,61,€1K
14152,B. Risa,61,€1K
14153,D. Contreras,61,€1K
14154,B. Halliday,61,€2K
14155,L. Dietz,61,€3K
14156,N. Al Omran,61,€4K
14157,Parra,61,€2K
14158,R. Taylor,61,€2K
14159,C. Thomas,61,€2K
14160,O. Ómarsson,61,€1K
14161,S. Kopp,61,€2K
14162,Chen Binbin,61,€2K
14163,M. Toye,61,€1K
14164,Cordero,61,€1K
14165,N. Jackson,61,€1K
14166,B. Källman,61,€1K
14167,L. Cueto,61,€1K
14168,Guillamón,61,€2K
14169,P. Camara,61,€1K
14170,W. Cuesta,61,€1K
14171,Campos,61,€1K
14172,F. Plach,61,€1K
14173,H. Belal,61,€3K
14174,D. Foulon,61,€1K
14175,L. Fritzson,61,€1K
14176,P. Da Silva,61,€1K
14177,K. Skaanes,61,€1K
14178,I. Ugbo,61,€1K
14179,C. Operi,61,€1K
14180,C. Köppel,61,€1K
14181,C. Dickinson,61,€2K
14182,T. Robinet,61,€1K
14183,Yeremi Valerón,61,€1K
14184,S. Finley,61,€1K
14185,A. Bruhn,61,€2K
14186,M. Amundsen,61,€1K
14187,T. Vollnhofer,61,€2K
14188,N. Atangana,61,€3K
14189,D. Tchamba,61,€1K
14190,A. Kartalis,61,€1K
14191,J. Victoria,61,€2K
14192,E. Orona,61,€2K
14193,K. Yamaguchi,61,€2K
14194,Angel Sánchez,61,€3K
14195,B. Kindsvater,61,€2K
14196,N. Laursen,61,€2K
14197,L. Bolton,61,€7K
14198,R. Miller,61,€3K
14199,P. Kotal,61,€0.00
14200,F. Saavedra,61,€1K
14201,J. Lorch,61,€1K
14202,M. Hosseini,61,€4K
14203,I. Aguilar,61,€6K
14204,Gorka Giralt,61,€1K
14205,T. Kainz,61,€2K
14206,D. Barnes,61,€2K
14207,T. Buitink,61,€1K
14208,H. Eisa,61,€4K
14209,D. Hyam,61,€2K
14210,T. Denton,61,€5K
14211,B. Ziegenbein,61,€1K
14212,Adrià Pedrosa,61,€3K
14213,A. Stadler,61,€1K
14214,Li Xiaoming,61,€2K
14215,R. Muhammed,61,€1K
14216,M. Al Mania,61,€6K
14217,A. López,61,€8K
14218,L. Ralte,61,€0.00
14219,M. Payares,61,€1K
14220,F. Sucsuz,61,€1K
14221,C. Cásseres Jr,61,€1K
14222,K. Etuhu,61,€2K
14223,A. Al Saleh,61,€4K
14224,Zheng Dalun,61,€3K
14225,H. Charsley,61,€9K
14226,Giovanni,61,€1K
14227,M. Barnofsky,61,€1K
14228,H. Dunk,61,€3K
14229,T. Galdames,61,€1K
14230,S. Ando,61,€1K
14231,A. Dabasse,61,€1K
14232,S. Mladenovic,61,€1K
14233,J. Hessenthaler,61,€2K
14234,Fran Sánchez,61,€4K
14235,M. Funk,61,€1K
14236,S. Amuzie,61,€1K
14237,C. Villanueva,61,€1K
14238,Wang Fan,61,€3K
14239,A. Egholm,61,€2K
14240,B. Koglin,61,€2K
14241,D. Tuma,61,€1K
14242,J. Thorsen,61,€1K
14243,Álex Dos Santos,61,€2K
14244,M. Awoudja,61,€6K
14245,S. Brodersen,61,€2K
14246,Ryu Jae Moon,61,€1K
14247,L. Alzugaray,61,€3K
14248,I. Franjic,61,€1K
14249,M. Mara,61,€1K
14250,A. Brorsson,61,€1K
14251,O. Petrak,61,€1K
14252,Rafael Camacho,61,€7K
14253,P. Will,61,€5K
14254,A. Dønnum,61,€1K
14255,S. Tanser,61,€1K
14256,K. Danielak,61,€1K
14257,Y. Diouf,61,€1K
14258,Brian Torres,61,€1K
14259,L. Jackson,61,€1K
14260,Aitor Lorea,61,€1K
14261,A. Pinga,61,€4K
14262,N. Andereggen,61,€2K
14263,M. Ambrosiewicz,61,€1K
14264,M. Forss,61,€4K
14265,B. Álvarez,61,€2K
14266,P. Michael,61,€1K
14267,J. Wallace,61,€2K
14268,A. Helmersen,61,€1K
14269,A. Yildirim,61,€1K
14270,Ángel López,61,€3K
14271,D. Byrtek,61,€1K
14272,D. Telford,61,€2K
14273,S. Old,61,€2K
14274,H. Tifner,61,€2K
14275,Jiang Jiajun,61,€2K
14276,S. Erimuya,61,€1K
14277,F. Obilor,61,€1K
14278,K. Partida,61,€1K
14279,R. Laidlaw,61,€1K
14280,S. van Hooijdonk,61,€1K
14281,F. Mac Allister,61,€2K
14282,A. Fontana,61,€3K
14283,E. Ojeda,61,€2K
14284,Y. Mamilonne,61,€4K
14285,B. Gaye,61,€1K
14286,Iñaki Peña,61,€4K
14287,F. Dornebusch,61,€2K
14288,F. Arbeláez,61,€1K
14289,E. Gutiérrez,61,€6K
14290,J. Vásquez,61,€3K
14291,T. Björkström,61,€1K
14292,J. McCourt,61,€3K
14293,Álex Mozo,61,€4K
14294,J. Klinsmann,61,€2K
14295,Y. Fofana,61,€1K
14296,K. Koussou,61,€2K
14297,M. Ortega,61,€5K
14298,J. Mäder,61,€1K
14299,O. Leguizamón,61,€3K
14300,M. Pawelec,61,€1K
14301,T. Bonga,61,€1K
14302,Kiki,61,€1K
14303,M. Warcholak,61,€1K
14304,Romero,61,€1K
14305,S. Puri,61,€1K
14306,Kim Yong Jin,61,€2K
14307,S. Moussa,61,€2K
14308,Luis Díaz,61,€2K
14309,L. Ameka Autchanga,61,€1K
14310,J. Vega,61,€7K
14311,Y. Gutiérrez,61,€1K
14312,L. Daschner,61,€1K
14313,T. Goppel,61,€1K
14314,M. Rodas,61,€1K
14315,F. Quiroz,61,€2K
14316,R. Idda,61,€1K
14317,M. Petrasso,61,€1K
14318,J. Angulo,61,€3K
14319,M. Thalhammer,61,€3K
14320,J. Hildebrandt,61,€1K
14321,Robert,61,€2K
14322,M. O'Leary,61,€3K
14323,A. Ståhl,61,€1K
14324,R. Griffiths,61,€5K
14325,Iván,61,€3K
14326,G. Taft,61,€2K
14327,H. Johansen,61,€1K
14328,S. Facey,61,€2K
14329,V. Golemić,61,€1K
14330,F. Álvarez,61,€1K
14331,J. Asiri,61,€4K
14332,J. Melling,61,€1K
14333,G. Leigh,61,€1K
14334,Lee Jae Ik,61,€1K
14335,Tang Jiashu,61,€2K
14336,J. Keohane,61,€1K
14337,S. Boyd,61,€1K
14338,Darío Poveda,61,€6K
14339,A. Al Fiqi,61,€6K
14340,E. Fernández,61,€6K
14341,J. Bonham,61,€4K
14342,D. Haspolat,61,€1K
14343,R. Yamazaki,61,€2K
14344,M. Hazazi,61,€4K
14345,Y. Otayn,61,€3K
14346,G. Coke,61,€3K
14347,D. Lanius,61,€1K
14348,Ha Sung Min,61,€1K
14349,I. La Rocca,61,€2K
14350,A. Hazazi,61,€4K
14351,N. Tiknizyan,61,€1K
14352,B. Pindroch,61,€3K
14353,N. Heidemann,61,€1K
14354,S. Mbakata,61,€1K
14355,R. Harley,61,€3K
14356,P. Hercher,61,€1K
14357,L. Balerdi,61,€2K
14358,G. Guerrieri,61,€4K
14359,L. Kramer,61,€1K
14360,A. Tozzo,61,€4K
14361,A. Domínguez,61,€4K
14362,A. Melo,61,€3K
14363,S. Al Qeshtah,61,€2K
14364,J. Partington,61,€2K
14365,M. Gillespie,61,€1K
14366,D. Gyollai,61,€3K
14367,J. Cook,61,€3K
14368,T. Hudson-Wihongi,61,€0.00
14369,J. Tuominen,61,€0.00
14370,T. Smith,61,€1K
14371,Kim Young Sin,61,€1K
14372,Li Songyi,61,€3K
14373,R. Wulle,61,€1K
14374,A. Al Khulaif,61,€5K
14375,A. Fontana,61,€1K
14376,P. Prado,61,€3K
14377,M. Rocca,61,€5K
14378,J. Vogliotti,61,€1K
14379,K. Yoshino,61,€2K
14380,Liu Yang,61,€2K
14381,D. Moreno,61,€1K
14382,M. Comba,61,€2K
14383,L. Gambin,61,€2K
14384,E. Maanane,61,€1K
14385,M. Meneses,61,€1K
14386,T. Børkeeiet,61,€1K
14387,A. Bennett,61,€1K
14388,M. Martic,61,€3K
14389,Chico,61,€2K
14390,J. Lindsey,61,€1K
14391,D. Vlahovic,61,€5K
14392,Miquel Parera,61,€1K
14393,Diego Pampín,61,€2K
14394,J. Suárez,61,€2K
14395,M. Reule,61,€1K
14396,Bai Yuefeng,61,€3K
14397,V. Müller,61,€1K
14398,C. Ferreira,61,€2K
14399,J. Houghton,61,€3K
14400,N. Smith,61,€2K
14401,L. Carillo,61,€2K
14402,S. Ruiz,61,€1K
14403,L. Amarilla,61,€3K
14404,S. Ormeño,61,€2K
14405,P. Petrović,61,€1K
14406,R. Callachan,61,€1K
14407,Leandro,61,€1K
14408,Zhong JinBao,61,€2K
14409,Park Dae Han,61,€1K
14410,D. Burgzorg,61,€1K
14411,Marcus Vinícius,61,€1K
14412,V. Wernersson,61,€1K
14413,Roger Riera,61,€4K
14414,N. Blissett,61,€2K
14415,F. Sulmoni,61,€2K
14416,M. Harrer,61,€3K
14417,M. Havekotte,61,€1K
14418,S. Bastoni,61,€1K
14419,A. Rinomhota,61,€4K
14420,J. Caletti,61,€1K
14421,G. Ray,61,€3K
14422,Zhang Chenglin,61,€3K
14423,L. Mokhevishvili,61,€1K
14424,V. Myhra,61,€1K
14425,Chen Hao,61,€2K
14426,M. Ferreira,61,€1K
14427,M. Moënza,61,€1K
14428,A. Swolfs,61,€2K
14429,K. Machida,61,€2K
14430,A. Babacan,61,€4K
14431,K. Gutiérrez,61,€2K
14432,K. Appiah-Kubi,61,€1K
14433,P. Keegan,61,€1K
14434,K. Woolery,61,€3K
14435,J. Vagnoman,61,€1K
14436,A. Kostić,61,€3K
14437,B. Nugent,61,€2K
14438,S. Habergham,61,€3K
14439,H. Ayaroğlu,61,€2K
14440,J. Brandon,61,€1K
14441,E. Omondi,61,€1K
14442,R. Alvarez,61,€1K
14443,B. Purkiss,61,€2K
14444,T. Basila,61,€2K
14445,M. Rose,61,€2K
14446,Y. Schmid,61,€2K
14447,Christovao,61,€1K
14448,I. Magnusson,61,€1K
14449,M. Wintzheimer,61,€2K
14450,K. Anzai,61,€1K
14451,D. Mihajlovic,61,€2K
14452,D. Emmanouilidis,61,€1K
14453,P. Smyth,61,€1K
14454,K. Kristinsson,61,€1K
14455,D. Duhaney,61,€3K
14456,L. Østigård,61,€3K
14457,Lee Bum Soo,61,€1K
14458,Yi Fan,61,€2K
14459,Robert Sanchez,61,€4K
14460,S. Macías,61,€1K
14461,M. Egho,61,€2K
14462,P. Pfeiffer,61,€1K
14463,B. Anderson,61,€1K
14464,L. Grimshaw,61,€1K
14465,V. Vermeer,61,€1K
14466,M. Kaasa,61,€1K
14467,H. Al Shamrani,61,€3K
14468,C. Sierra,61,€1K
14469,E. Mensah,61,€1K
14470,S. Baradji,61,€1K
14471,M. Igonen,61,€1K
14472,S. Galloway,61,€1K
14473,D. Moreno,61,€1K
14474,Zhang Cheng,61,€4K
14475,Ma Xingyu,61,€3K
14476,T. Mokwa,61,€1K
14477,D. Lippert,61,€3K
14478,Y. Tatsuta,61,€1K
14479,M. Hjulmand,61,€1K
14480,Y. Shimaya,61,€1K
14481,J. Lotomba,61,€2K
14482,Hiago,61,€1K
14483,K. Scheidhauer,61,€1K
14484,An Jin Beom,61,€1K
14485,M. Kakuda,61,€1K
14486,Kang Ji Yong,61,€1K
14487,J. Gulley,61,€0.00
14488,C. Owens,61,€1K
14489,N. Raskin,61,€2K
14490,J. Bocanegra,61,€1K
14491,Rubén Sánchez,61,€2K
14492,Lee Min Soo,61,€1K
14493,C. Castro,61,€1K
14494,S. Ohlsson,61,€1K
14495,F. Cambeses,61,€1K
14496,L. Compagnucci,61,€1K
14497,M. Cortesi,61,€1K
14498,M. Borquez,61,€1K
14499,M. Robinson,61,€1K
14500,Z. Randriambololona,61,€2K
14501,K. Finnbogason,61,€1K
14502,J. Storey,61,€2K
14503,G. Simeone,61,€2K
14504,J. Jesgarzewski,61,€1K
14505,T. Jacobsen,61,€3K
14506,J. Allen,61,€1K
14507,E. Bekiroglu,61,€1K
14508,J. Benteke,61,€3K
14509,J. Albert,61,€1K
14510,A. Morkaya,61,€4K
14511,A. Muric,61,€3K
14512,W. Atkinson,61,€4K
14513,L. Matarese,61,€2K
14514,M. Ellis,61,€2K
14515,S. Ayala,61,€1K
14516,Bae Sin Yeong,61,€1K
14517,E. Bytyqi,61,€1K
14518,M. Lercher,61,€3K
14519,J. Morias,61,€3K
14520,F. Lesniak,61,€2K
14521,A. Whiteman,61,€3K
14522,W. Aimson,61,€2K
14523,K. Al Barakah,61,€2K
14524,Diego Ferraresso,61,€1K
14525,T. Christensen,61,€1K
14526,R. Aït Nouri,61,€2K
14527,C. Robertson,61,€3K
14528,A. Revell,61,€3K
14529,R. Al Mousa,61,€3K
14530,J. Rønningen,61,€1K
14531,A. Bordin,61,€4K
14532,C. Klarer,61,€3K
14533,P. Stępiński,61,€1K
14534,W. McDonald,61,€1K
14535,M. Stamnestrø,61,€1K
14536,F. Al Johani,61,€4K
14537,S. Harrison,61,€10K
14538,P. Klimala,61,€1K
14539,K. Browne,61,€1K
14540,Y. Diarra,61,€4K
14541,A. Oxborough,61,€2K
14542,M. Qvist,61,€2K
14543,C. Good,61,€2K
14544,M. Saito,61,€1K
14545,K. Sterling,61,€7K
14546,S. Davies,61,€2K
14547,D. Imrie,61,€1K
14548,D. Orellana,61,€1K
14549,A. Borkovic,61,€1K
14550,G. Vicario,61,€1K
14551,A. Karadas,61,€1K
14552,A. Madrid,61,€1K
14553,M. Butcher,61,€7K
14554,N. Gómez,61,€4K
14555,G. Cardozo,61,€1K
14556,J. Clarke,61,€3K
14557,S. Benega,61,€2K
14558,F. Sittsam,61,€1K
14559,F. El Khoumisti,61,€1K
14560,D. Rosales,61,€2K
14561,T. Warschewski,61,€1K
14562,F. Sgarbi,61,€1K
14563,C. O'Grady,61,€3K
14564,G. Hiwat,61,€2K
14565,Jung Seon Ho,61,€1K
14566,I. Meslier,61,€1K
14567,J. Sánchez Purata,61,€5K
14568,H. Daza,61,€1K
14569,J. Mondragón,61,€1K
14570,T. Fukumitsu,61,€2K
14571,E. Cerna,61,€7K
14572,S. Tka,61,€2K
14573,A. Dales,61,€2K
14574,E. Wichne,61,€1K
14575,J. Simpson,61,€6K
14576,J. Bamert,61,€3K
14577,M. Kamekawa,61,€2K
14578,B. Córdoba,61,€1K
14579,M. Randall,61,€2K
14580,A. Eisa,61,€1K
14581,B. Dia,61,€3K
14582,M. Maidana,61,€2K
14583,F. Brown Forbes,61,€1K
14584,Jo Soo Chul,61,€1K
14585,S. Banza,61,€2K
14586,T. Onozawa,61,€1K
14587,J. Ndecky,61,€3K
14588,L. Tupta,61,€1K
14589,J. Pepper,61,€1K
14590,M. Majrashi,61,€5K
14591,D. Toköz,61,€6K
14592,Guo Hao,61,€2K
14593,K. Sekiguchi,61,€1K
14594,K. Jacobs,61,€2K
14595,M. Christensen,61,€2K
14596,Lee Jeong Bin,61,€1K
14597,R. Tulloch,61,€3K
14598,L. Agüero,61,€2K
14599,D. Meredith,61,€2K
14600,M. Romero,61,€2K
14601,J. Masson,61,€1K
14602,B. Burns,61,€1K
14603,B. Gilmour,61,€7K
14604,Cheng Yuan,61,€3K
14605,Kim Hyun Hun,61,€1K
14606,Genaro,61,€2K
14607,Y. Takahashi,61,€1K
14608,B. Wilson,61,€1K
14609,D. Heymans,61,€1K
14610,C. Randall,61,€1K
14611,C. Johnson,61,€7K
14612,R. Nicolaisen,61,€3K
14613,M. Nani,61,€2K
14614,S. Otayf,61,€4K
14615,H. Nakamura,61,€1K
14616,M. Kryeziu,61,€2K
14617,Park Hyeong Jin,61,€2K
14618,A. Gallo,61,€1K
14619,Baek Dong Gyu,61,€1K
14620,R. Watson,61,€1K
14621,A. Amadi-Holloway,61,€2K
14622,D. Olave,61,€1K
14623,R. Romero,61,€1K
14624,B. Janošević,61,€1K
14625,D. Sula,61,€2K
14626,B. Hanlan,61,€1K
14627,P. Wiesinger,61,€2K
14628,C. Martin,61,€1K
14629,Kuk Tae Jeong,61,€1K
14630,D. Oberhauser,61,€1K
14631,E. Kupen,61,€1K
14632,D. Jarl,61,€1K
14633,D. Carr,61,€1K
14634,M. Diallo,61,€2K
14635,L. Scherff,61,€1K
14636,C. Brandeborn,61,€1K
14637,M. Drennan,61,€1K
14638,I. Djuric,61,€2K
14639,M. Allende,61,€1K
14640,M. Knudsen,61,€2K
14641,T. Taiwo,61,€2K
14642,L. Pizarro,61,€2K
14643,M. Olsen Pettersen,61,€1K
14644,A. Berry,61,€1K
14645,H. Wingo,61,€1K
14646,M. Taylor-Crossdale,61,€8K
14647,C. Omeje,61,€1K
14648,C. Vidal,61,€2K
14649,F. Okenabirhie,61,€2K
14650,J. Aguilera,61,€1K
14651,S. Warmolts,61,€1K
14652,D. Mantilla,61,€1K
14653,P. Amond,61,€2K
14654,M. Pałaszewski,60,€1K
14655,M. Pavić,60,€1K
14656,K. Hachisuka,60,€1K
14657,B. Cooper,60,€2K
14658,G. Damen,60,€1K
14659,C. Rubio Sivodedov,60,€1K
14660,J. Smith,60,€4K
14661,M. Ndjoli,60,€5K
14662,Manu Navarro,60,€1K
14663,Javi Pérez,60,€3K
14664,J. Wallens,60,€1K
14665,A. Parisi,60,€1K
14666,L. Yamaguchi,60,€1K
14667,K. Tagawa,60,€1K
14668,J. Herrera,60,€1K
14669,P. Chato,60,€1K
14670,E. Majetschak,60,€3K
14671,H. Hope,60,€2K
14672,Seo Jae Min,60,€1K
14673,R. Durán,60,€5K
14674,B. Adekanye,60,€7K
14675,C. Baumgartner,60,€2K
14676,Salcedo,60,€1K
14677,L. Donnelly,60,€1K
14678,S. Lauper,60,€2K
14679,Anderson Emanuel,60,€3K
14680,A. Balanta,60,€1K
14681,C. Georges,60,€1K
14682,W. Hajda,60,€1K
14683,N. Petric,60,€1K
14684,D. Kerschbaumer,60,€3K
14685,R. Telfer,60,€1K
14686,Otaño,60,€1K
14687,D. Loader,60,€3K
14688,J. Montaño,60,€1K
14689,J. Marcinkowski,60,€1K
14690,G. Herrem,60,€1K
14691,I. Al Zubaidi,60,€3K
14692,J. Calero,60,€2K
14693,S. Perić,60,€1K
14694,S. Raheriharimanana,60,€1K
14695,R. Gül,60,€3K
14696,I. Wilson,60,€1K
14697,N. Al Dawsari,60,€3K
14698,H. Al Maqati,60,€2K
14699,K. Bigler,60,€2K
14700,P. Berg,60,€1K
14701,A. Zendejas,60,€4K
14702,A. Karnuçu,60,€3K
14703,D. Quaranta,60,€1K
14704,T. Velaphi,60,€1K
14705,N. Das,60,€0.00
14706,J. Durán,60,€3K
14707,Rafael Zuchi,60,€3K
14708,M. Vargas,60,€1K
14709,O. Ural,60,€1K
14710,S. Mustafa,60,€2K
14711,M. Youssouf,60,€1K
14712,S. Hart,60,€4K
14713,M. Al Baqawi,60,€4K
14714,J. Díaz,60,€1K
14715,Liu Junshuai,60,€2K
14716,H. Hankić,60,€1K
14717,Jiang Zhe,60,€2K
14718,G. Edmundson,60,€2K
14719,M. Blauensteiner,60,€2K
14720,K. Rauhut,60,€1K
14721,A. Tripaldelli,60,€3K
14722,B. Wilson,60,€1K
14723,T. Kunimoto,60,€1K
14724,V. Xenopoulos,60,€1K
14725,B. Warland,60,€1K
14726,M. Paes,60,€1K
14727,R. Obermair,60,€3K
14728,C. Palacios,60,€1K
14729,L. O'Brien,60,€1K
14730,D. Ochieng,60,€1K
14731,W. Kurtovic,60,€1K
14732,Yoo Seung Min,60,€1K
14733,T. Freriks,60,€1K
14734,Manu Moya,60,€1K
14735,A. Södlund,60,€1K
14736,M. Kurogi,60,€1K
14737,K. Sessa,60,€1K
14738,Sergio Tienza,60,€2K
14739,K. Michalski,60,€1K
14740,Carlos Vicente,60,€1K
14741,B. Rowthorn,60,€3K
14742,T. Fleckstein,60,€1K
14743,D. Restrepo,60,€1K
14744,S. Omeonga,60,€2K
14745,D. N'Lundulu,60,€4K
14746,D. Wanner,60,€3K
14747,J. Zickert,60,€1K
14748,Y. Ota,60,€1K
14749,K. Velasco,60,€1K
14750,A. Al Ruhaili,60,€2K
14751,Lee Eun Beom,60,€1K
14752,B. Diakité,60,€2K
14753,C. Guy,60,€4K
14754,D. Cruz,60,€1K
14755,E. Erenler,60,€2K
14756,J. Velásquez,60,€1K
14757,K. Skoglund,60,€1K
14758,L. Gottwalt,60,€1K
14759,Yang Jun,60,€2K
14760,N. Knothe,60,€2K
14761,A. Buongiorno,60,€2K
14762,S. Walukiewicz,60,€1K
14763,Park Jeong Su,60,€1K
14764,C. Slattery,60,€3K
14765,G. Reilly,60,€2K
14766,D. Beyreuther,60,€2K
14767,P. Bastianello,60,€1K
14768,B. Osayi-Samuel,60,€1K
14769,D. O'Shaughnessy,60,€1K
14770,L. Selahi,60,€1K
14771,A. Makarov,60,€1K
14772,Bruno Jordão,60,€1K
14773,A. Al Hamdan,60,€3K
14774,D. Henriquez,60,€1K
14775,Kike PIna,60,€2K
14776,E. Ntim,60,€1K
14777,L. Charman,60,€5K
14778,L. O'Neil,60,€2K
14779,J. Issa,60,€3K
14780,I. Näsberg,60,€1K
14781,K. O'Connor,60,€2K
14782,A. Halme,60,€4K
14783,T. Watson,60,€3K
14784,M. Sifneos,60,€1K
14785,E. Al Joufi,60,€3K
14786,U. Singh,60,€0.00
14787,A. Maldonado,60,€2K
14788,B. Álvarez,60,€2K
14789,Ximo Miralles,60,€1K
14790,I. Furu,60,€1K
14791,J. Fryer,60,€4K
14792,M. Godinho,60,€1K
14793,F. Hörberg,60,€1K
14794,A. Calver,60,€1K
14795,J. Tymon,60,€2K
14796,G. Corbo,60,€2K
14797,Lombo,60,€1K
14798,T. Elšnik,60,€4K
14799,D. Rasak,60,€1K
14800,A. Peláez,60,€2K
14801,E. Segberg,60,€1K
14802,R. Hironaga,60,€2K
14803,K. Böhnlein,60,€1K
14804,S. Atakayi,60,€3K
14805,A. Angulo,60,€1K
14806,A. Nguiamba,60,€1K
14807,A. Whitmore,60,€2K
14808,T. van de Berg,60,€1K
14809,M. Belkheir,60,€1K
14810,M. Okazaki,60,€1K
14811,A. Vogliacco,60,€4K
14812,Heo Jae Won,60,€1K
14813,Liao Bochao,60,€2K
14814,M. Rauschenberg,60,€1K
14815,S. Murillo,60,€1K
14816,F. Çakır,60,€2K
14817,P. Ruiz,60,€1K
14818,Guo Quanbo,60,€1K
14819,N. Ferguson,60,€2K
14820,Algobia,60,€1K
14821,A. Favaro,60,€1K
14822,T. Moniwa,60,€1K
14823,J. Gibbons,60,€2K
14824,R. Yamasaki,60,€1K
14825,G. Maris,60,€2K
14826,O. Okungbowa,60,€2K
14827,K. Krasniqi,60,€1K
14828,E. Weeger,60,€1K
14829,B. Mirelis,60,€1K
14830,N. Watanabe,60,€1K
14831,R. Ljubicic,60,€1K
14832,J. Forster,60,€2K
14833,A. Santos,60,€1K
14834,J. Molina,60,€1K
14835,Long Cheng,60,€2K
14836,O. Olomola,60,€2K
14837,K. Arthur,60,€1K
14838,A. Majrashi,60,€2K
14839,W. Parra,60,€1K
14840,O. Alseth,60,€1K
14841,J. Ortíz,60,€1K
14842,Matis Carvalho,60,€1K
14843,David Gil,60,€1K
14844,E. List,60,€1K
14845,J. Mukena,60,€3K
14846,P. Vincenti,60,€2K
14847,M. Salazar,60,€1K
14848,F. Rossi,60,€3K
14849,P. Kühn,60,€1K
14850,U. Saracco,60,€1K
14851,T. Königsmann,60,€1K
14852,J. Pearson,60,€1K
14853,K. Onose,60,€2K
14854,C. Zesiger,60,€2K
14855,G. Mainero,60,€2K
14856,Adrián,60,€1K
14857,S. Tanasijevic,60,€2K
14858,M. Tonge,60,€2K
14859,R. Garay,60,€1K
14860,V. van den Bogert,60,€1K
14861,A. De Francesco,60,€1K
14862,I. Camara,60,€1K
14863,A. Kay,60,€2K
14864,N. Cowburn,60,€1K
14865,M. Eberwein,60,€1K
14866,I. Aaneba,60,€1K
14867,C. Kountouriotis,60,€1K
14868,M. Janssen,60,€1K
14869,M. Kanabah,60,€2K
14870,J. Karlstrøm,60,€1K
14871,G. Byers,60,€4K
14872,Lin Liangming,60,€1K
14873,A. Putna,60,€1K
14874,Yang Qipeng,60,€2K
14875,Hu Ruibao,60,€2K
14876,Caio Marcelo,60,€1K
14877,J. Carroll,60,€2K
14878,S. Fraser,60,€2K
14879,P. Posipal,60,€1K
14880,R. Fulton,60,€1K
14881,M. Herrera,60,€1K
14882,A. Sicker,60,€1K
14883,V. Drkušić,60,€1K
14884,D. Chávez,60,€1K
14885,J. Maddox,60,€1K
14886,R. Strain,60,€1K
14887,R. Germain,60,€1K
14888,M. Komenda,60,€1K
14889,M. Seidel,60,€1K
14890,M. Kristensen,60,€1K
14891,R. Izumi,60,€1K
14892,J. Valencia,60,€1K
14893,Leja,60,€1K
14894,K. Athiu,60,€2K
14895,Y. Suzuki,60,€1K
14896,I. Baba,60,€1K
14897,J. Illanes,60,€1K
14898,M. Batmaz,60,€1K
14899,B. Al Baqi,60,€4K
14900,T. Hawkridge,60,€3K
14901,V. Demaku,60,€1K
14902,C. Sánchez,60,€1K
14903,N. Janvier,60,€2K
14904,C. Frommann,60,€2K
14905,F. Robert,60,€3K
14906,S. Al Dosari,60,€3K
14907,L. Polvani,60,€2K
14908,A. Krysiak,60,€1K
14909,B. Moore,60,€1K
14910,M. Peano,60,€1K
14911,N. Diallo,60,€3K
14912,A. Fejzullahu,60,€1K
14913,D. Johnson,60,€1K
14914,Jiang Ning,60,€2K
14915,H. Narzary,60,€0.00
14916,S. Ntiya-Ntiya,60,€1K
14917,Zhang Mengqi,60,€2K
14918,L. Czyborra,60,€1K
14919,M. Gneba,60,€2K
14920,D. Bulman,60,€1K
14921,F. Brener,60,€2K
14922,M. Viviani,60,€1K
14923,W. Kuzain,60,€1K
14924,M. Erboğa,60,€1K
14925,G. Bizzotto,60,€1K
14926,M. Skenderović,60,€4K
14927,Sergio García,60,€1K
14928,J. Ngando,60,€2K
14929,J. Illum,60,€2K
14930,V. Cabezas,60,€1K
14931,R. Çağıran,60,€2K
14932,E. Katayama,60,€1K
14933,S. Arnold,60,€1K
14934,R. Ziegele,60,€4K
14935,E. Çelenk,60,€2K
14936,C. Cooke,60,€1K
14937,T. Johnson,60,€3K
14938,L. Palmiero,60,€6K
14939,F. Ugrinic,60,€1K
14940,M. Hausjell,60,€1K
14941,N. Plume,60,€1K
14942,H. Nakabayashi,60,€1K
14943,J. Wind,60,€2K
14944,I. Łasicki,60,€6K
14945,G. Guiffrey,60,€2K
14946,L. Woolfenden,60,€1K
14947,T. Buhagiar,60,€1K
14948,J. Hunt,60,€2K
14949,Wang Fei,60,€2K
14950,J. Cacciabue,60,€2K
14951,Z. Brault-Guillard,60,€3K
14952,J. Ebot-Etchi,60,€1K
14953,J. Kamata,60,€2K
14954,C. Ojeda,60,€1K
14955,H. Ide,60,€2K
14956,Kim Gyeong Min,60,€1K
14957,J. David,60,€1K
14958,T. Almada,60,€1K
14959,K. Riksvold,60,€1K
14960,M. Acikgöz,60,€3K
14961,A. Poggenborg,60,€1K
14962,A. Tutte,60,€2K
14963,F. Costa,60,€2K
14964,F. Buntić,60,€2K
14965,M. Ashimeru,60,€4K
14966,R. Lauwers,60,€1K
14967,Sebas Moyano,60,€1K
14968,M. Al Otaibi,60,€4K
14969,S. McLoughlin,60,€1K
14970,T. Matsuda,60,€1K
14971,D. Fitz,60,€1K
14972,A. Barry,60,€1K
14973,B. Nordström,60,€1K
14974,M. Sarkaria,60,€2K
14975,F. Pangop,60,€1K
14976,F. Sachpekidis,60,€1K
14977,M. Mølvadgaard,60,€1K
14978,M. Grødem,60,€1K
